Date,Description,Amount,Transaction_Type,Category,Account_Name
2024-01-01,Transfer Ortu,2612326.0,INCOME,Gaji,BCA
2024-01-01,Game,8721.0,EXPENSE,Hiburan,Gopay
2024-01-01,Indomaret,21615.0,EXPENSE,Belanja,Dompet Tunai
2024-01-01,GoFood,39815.0,EXPENSE,Makan & Minum,Gopay
2024-01-01,Kopi Kenangan,25636.0,EXPENSE,Makan & Minum,BCA
2024-01-01,Kopi Kenangan,76933.0,EXPENSE,Makan & Minum,Gopay
2024-01-01,Pertamax,28371.0,EXPENSE,Tagihan,Gopay
2024-01-01,Tokopedia,109331.0,EXPENSE,Belanja,BCA
2024-01-01,Bayar Kost,460562.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-01,Beasiswa,874375.0,INCOME,Gaji,Gopay
2024-01-01,KFC,15531.0,EXPENSE,Makan & Minum,OVO
2024-01-01,KFC,15596.0,EXPENSE,Makan & Minum,Gopay
2024-01-01,GoFood,32844.0,EXPENSE,Makan & Minum,OVO
2024-01-01,Alfamart,28571.0,EXPENSE,Belanja,BCA
2024-01-01,Bensin,38984.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-02,Starbucks,39561.0,EXPENSE,Makan & Minum,BCA
2024-01-02,Kopi Kenangan,38658.0,EXPENSE,Makan & Minum,Gopay
2024-01-02,Pizza,31143.0,EXPENSE,Makan & Minum,OVO
2024-01-02,Kiriman Papa,1653315.0,INCOME,Gaji,Gopay
2024-01-02,Bayar Kost,1109165.0,EXPENSE,Tagihan,BCA
2024-01-02,GoFood,71892.0,EXPENSE,Makan & Minum,OVO
2024-01-02,Uang Saku,1202248.0,INCOME,Gaji,Gopay
2024-01-02,Warung Nasi,13123.0,EXPENSE,Makan & Minum,Gopay
2024-01-02,Bubble Tea,27573.0,EXPENSE,Makan & Minum,OVO
2024-01-02,Sewa Bulanan,593123.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-02,Bakmi,57868.0,EXPENSE,Makan & Minum,Gopay
2024-01-02,Sewa Bulanan,1091917.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-02,Isi BBM,44869.0,EXPENSE,Tagihan,Gopay
2024-01-03,Starbucks,32732.0,EXPENSE,Makan & Minum,OVO
2024-01-03,Sushi,31619.0,EXPENSE,Makan & Minum,OVO
2024-01-03,Bensin,25082.0,EXPENSE,Tagihan,Gopay
2024-01-03,Parkir,2775.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-03,Gorengan,29955.0,EXPENSE,Makan & Minum,BCA
2024-01-03,Bakmi,30987.0,EXPENSE,Makan & Minum,OVO
2024-01-03,Bubble Tea,18253.0,EXPENSE,Makan & Minum,Gopay
2024-01-03,GoFood,29036.0,EXPENSE,Makan & Minum,OVO
2024-01-03,Bensin,33268.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-04,Pertamax,15590.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-04,Bakmi,22787.0,EXPENSE,Makan & Minum,OVO
2024-01-04,Sushi,31030.0,EXPENSE,Makan & Minum,OVO
2024-01-04,Starbucks,48983.0,EXPENSE,Makan & Minum,Gopay
2024-01-04,Aksesoris,68319.0,EXPENSE,Belanja,Gopay
2024-01-04,Bubble Tea,16324.0,EXPENSE,Makan & Minum,Gopay
2024-01-04,GrabFood,16119.0,EXPENSE,Makan & Minum,BCA
2024-01-05,Sushi,43083.0,EXPENSE,Makan & Minum,OVO
2024-01-05,Starbucks,29395.0,EXPENSE,Makan & Minum,BCA
2024-01-05,Nasi Padang,20604.0,EXPENSE,Makan & Minum,OVO
2024-01-05,Parkir,4027.0,EXPENSE,Lain-lain,Gopay
2024-01-05,Nasi Bungkus,13852.0,EXPENSE,Makan & Minum,Gopay
2024-01-05,Warung Nasi,5357.0,EXPENSE,Makan & Minum,Gopay
2024-01-05,Kopi Kekinian,20255.0,EXPENSE,Makan & Minum,OVO
2024-01-05,Tokopedia,82327.0,EXPENSE,Belanja,BCA
2024-01-05,Nasi Padang,19386.0,EXPENSE,Makan & Minum,OVO
2024-01-06,Warung Makan,20028.0,EXPENSE,Makan & Minum,Gopay
2024-01-06,Sushi,55856.0,EXPENSE,Makan & Minum,Dana
2024-01-06,Warung Makan,36590.0,EXPENSE,Makan & Minum,OVO
2024-01-06,Shopee,87795.0,EXPENSE,Belanja,OVO
2024-01-06,Warung Makan,17291.0,EXPENSE,Makan & Minum,BCA
2024-01-07,Kopi Kenangan,36450.0,EXPENSE,Makan & Minum,Dana
2024-01-07,Aksesoris,40368.0,EXPENSE,Belanja,OVO
2024-01-07,Indomaret,10292.0,EXPENSE,Belanja,Gopay
2024-01-07,Warung Makan,29394.0,EXPENSE,Makan & Minum,Gopay
2024-01-07,Game,6401.0,EXPENSE,Hiburan,Gopay
2024-01-08,Top Up ML,49297.0,EXPENSE,Hiburan,Gopay
2024-01-08,GoFood,24772.0,EXPENSE,Makan & Minum,BCA
2024-01-08,Warung Makan,73140.0,EXPENSE,Makan & Minum,Gopay
2024-01-08,Skincare,21427.0,EXPENSE,Belanja,BCA
2024-01-08,ATM,10434.0,EXPENSE,Lain-lain,Gopay
2024-01-08,Warteg,6490.0,EXPENSE,Makan & Minum,BCA
2024-01-08,Ongkos,14310.0,EXPENSE,Lain-lain,Gopay
2024-01-08,Print Tugas,10299.0,EXPENSE,Lain-lain,Gopay
2024-01-08,Warung Makan,28484.0,EXPENSE,Makan & Minum,Gopay
2024-01-08,Isi BBM,35080.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-08,Kantin,5369.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-09,KFC,27132.0,EXPENSE,Makan & Minum,OVO
2024-01-09,Nasi Padang,33937.0,EXPENSE,Makan & Minum,BCA
2024-01-09,Nasi Bungkus,12937.0,EXPENSE,Makan & Minum,Gopay
2024-01-09,Bensin,43588.0,EXPENSE,Tagihan,Gopay
2024-01-09,Bakmi,20897.0,EXPENSE,Makan & Minum,Gopay
2024-01-09,Nasi Padang,25654.0,EXPENSE,Makan & Minum,Gopay
2024-01-10,Isi BBM,31924.0,EXPENSE,Tagihan,Gopay
2024-01-10,Pizza,32992.0,EXPENSE,Makan & Minum,Gopay
2024-01-10,Aksesoris,68644.0,EXPENSE,Belanja,Gopay
2024-01-10,GrabFood,37561.0,EXPENSE,Makan & Minum,OVO
2024-01-10,Starbucks,27117.0,EXPENSE,Makan & Minum,Gopay
2024-01-10,Netflix,90174.0,EXPENSE,Tagihan,Gopay
2024-01-10,Karaoke,142827.0,EXPENSE,Hiburan,Gopay
