Date,Description,Amount,Transaction_Type,Category,Account_Name
2024-01-01,Transfer Orang Tua,1899159.0,INCOME,Gaji,BCA
2024-01-01,Indomaret Snack,15746.0,EXPENSE,Makan & Minum,Gopay
2024-01-01,Es Teh,17339.0,EXPENSE,Makan & Minum,BCA
2024-01-01,Sewa Kost Bulanan,932233.0,EXPENSE,Tagihan,BCA
2024-01-01,Cilok,7685.0,EXPENSE,Belanja,Dompet Tunai
2024-01-01,Ongkos,10806.0,EXPENSE,Lain-lain,Gopay
2024-01-02,Uang Bulanan,1063977.0,INCOME,Gaji,BCA
2024-01-02,Indomaret Snack,11212.0,EXPENSE,Makan & Minum,Gopay
2024-01-02,Bakso,24651.0,EXPENSE,Makan & Minum,Gopay
2024-01-02,Bayar Kost,924751.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-03,Es Teh,36843.0,EXPENSE,Makan & Minum,Gopay
2024-01-03,Ongkos,2074.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-04,Kantin,16061.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-04,Cilok,17959.0,EXPENSE,Belanja,Gopay
2024-01-04,Mie Ayam,24607.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-05,Kantin,29353.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-05,Bayar Kost,938043.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-06,Gorengan,10426.0,EXPENSE,Belanja,Gopay
2024-01-07,Bakso,15655.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-07,Indomaret Snack,22205.0,EXPENSE,Makan & Minum,Gopay
2024-01-07,Bakso,10564.0,EXPENSE,Makan & Minum,BCA
2024-01-08,GoFood,20800.0,EXPENSE,Makan & Minum,BCA
2024-01-08,Mie Ayam,13279.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-08,GoFood,21273.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-08,Isi Bensin,26045.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-10,Paket Data,46197.0,EXPENSE,Tagihan,Gopay
2024-01-10,Kantin,19873.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-10,Kopi,20175.0,EXPENSE,Makan & Minum,Gopay
2024-01-10,Bakso,23312.0,EXPENSE,Makan & Minum,Gopay
2024-01-11,BBM,29658.0,EXPENSE,Tagihan,Gopay
2024-01-11,Es Teh,20594.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-11,Indomaret Snack,10054.0,EXPENSE,Makan & Minum,BCA
2024-01-12,Gorengan,16084.0,EXPENSE,Belanja,Dompet Tunai
2024-01-13,Nasi Padang,19089.0,EXPENSE,Makan & Minum,Gopay
2024-01-13,Nasi Padang,24993.0,EXPENSE,Makan & Minum,Gopay
2024-01-14,Nasi Padang,24225.0,EXPENSE,Makan & Minum,Gopay
2024-01-14,Es Teh,24877.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-15,Es Teh,23019.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-15,Bakso,20726.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-15,Es Teh,16947.0,EXPENSE,Makan & Minum,Gopay
2024-01-15,Dana Darurat,183390.0,INCOME,Goals,BCA
2024-01-16,Warung Nasi,16898.0,EXPENSE,Makan & Minum,Gopay
2024-01-16,Snack,6082.0,EXPENSE,Belanja,Gopay
2024-01-17,Alfamart,13329.0,EXPENSE,Belanja,Dompet Tunai
2024-01-17,Grab Motor,2748.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-17,Kantin,16209.0,EXPENSE,Makan & Minum,Gopay
2024-01-17,Warung Nasi,10712.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Bakso,14092.0,EXPENSE,Makan & Minum,Gopay
2024-01-18,Bensin,36634.0,EXPENSE,Tagihan,Gopay
2024-01-19,Cilok,6703.0,EXPENSE,Belanja,Gopay
2024-01-20,Kantin,19699.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-21,Warung Nasi,15101.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-21,Nasi Padang,16542.0,EXPENSE,Makan & Minum,Gopay
2024-01-21,Ongkos,11499.0,EXPENSE,Lain-lain,Gopay
2024-01-22,BBM,25684.0,EXPENSE,Tagihan,Dompet Tunai
2024-01-22,Kopi,22579.0,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-22,Alfamart,6991.0,EXPENSE,Belanja,Gopay
2024-01-22,Mie Ayam,21741.0,EXPENSE,Makan & Minum,BCA
2024-01-22,GoFood,21894.0,EXPENSE,Makan & Minum,Gopay
2024-01-23,Print Tugas,9884.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-23,Indomaret,12387.0,EXPENSE,Belanja,Gopay
2024-01-25,Isi Bensin,34154.0,EXPENSE,Tagihan,Gopay
2024-01-25,Fotokopi,11606.0,EXPENSE,Lain-lain,Dompet Tunai
2024-01-26,Warung Nasi,17862.0,EXPENSE,Makan & Minum,Gopay
2024-01-26,GoFood,13897.0,EXPENSE,Makan & Minum,Dompet Tunai
