Date,Description,Amount,Transaction_Type,Category,Account_Name,Month,Month_Name,Day_of_Week
2025-07-04,Bonus,223016.47,INCOME,Gaji,Gopay,7,July,Friday
2025-07-05,Investasi,138872.97,INCOME,Goals,Gopay,7,July,Saturday
2025-07-06,Cashback,152411.12,INCOME,Goals,Gopay,7,July,Sunday
2025-07-06,Bunga Bank,2515.05,INCOME,Goals,BCA,7,July,Sunday
2025-07-08,Bonus,182199.91,INCOME,Gaji,Dompet Tunai,7,July,Tuesday
2025-07-08,Insentif,288724.05,INCOME,Gaji,Gopay,7,July,Tuesday
2025-07-08,Tabungan,301345.76,INCOME,Goals,Gopay,7,July,Tuesday
2025-07-09,Cashback,96762.6,INCOME,Goals,Dompet Tunai,7,July,Wednesday
2025-07-16,Tabungan,138679.77,INCOME,Goals,BCA,7,July,Wednesday
2025-07-19,Gaji Bulanan,128828.96,INCOME,Gaji,Gopay,7,July,Saturday
2025-07-19,Gaji Bulanan,124085.27,INCOME,Gaji,Gopay,7,July,Saturday
2025-07-19,Insentif,218738.66,INCOME,Gaji,Gopay,7,July,Saturday
2025-07-20,Bunga Bank,132353.74,INCOME,Goals,BCA,7,July,Sunday
2025-07-23,Tabungan,48359.63,INCOME,Goals,BCA,7,July,Wednesday
2025-07-26,Investasi,223898.38,INCOME,Goals,Gopay,7,July,Saturday
2025-07-27,Gaji Bulanan,115132.4,INCOME,Gaji,Gopay,7,July,Sunday
2025-07-27,Tabungan,14409.77,INCOME,Goals,Dompet Tunai,7,July,Sunday
2025-07-28,Tabungan,17381.75,INCOME,Goals,BCA,7,July,Monday
2025-07-31,Gaji Bulanan,18931.45,INCOME,Gaji,Dompet Tunai,7,July,Thursday
2025-07-31,Gaji Bulanan,256997.29,INCOME,Gaji,Dompet Tunai,7,July,Thursday
2025-08-01,Cashback,46114.13,INCOME,Goals,Gopay,8,August,Friday
2025-08-01,Gaji Bulanan,169104.93,INCOME,Gaji,Gopay,8,August,Friday
2025-08-02,Gaji Bulanan,150535.06,INCOME,Gaji,Dompet Tunai,8,August,Saturday
2025-08-05,Bunga Bank,56791.0,INCOME,Goals,BCA,8,August,Tuesday
2025-08-05,Bonus,172129.47,INCOME,Gaji,Gopay,8,August,Tuesday
2025-08-06,Freelance Project,39796.51,INCOME,Gaji,BCA,8,August,Wednesday
2025-08-09,Insentif,74822.24,INCOME,Gaji,Gopay,8,August,Saturday
2025-08-14,Investasi,133487.03,INCOME,Goals,BCA,8,August,Thursday
2025-08-14,Insentif,216602.46,INCOME,Gaji,Gopay,8,August,Thursday
2025-08-15,Gaji Bulanan,233267.01,INCOME,Gaji,Gopay,8,August,Friday
2025-08-15,Investasi,143405.42,INCOME,Goals,BCA,8,August,Friday
2025-08-17,Bonus,46272.32,INCOME,Gaji,Gopay,8,August,Sunday
2025-08-17,Freelance Project,210925.7,INCOME,Gaji,Gopay,8,August,Sunday
2025-08-23,Cashback,111281.52,INCOME,Goals,Dompet Tunai,8,August,Saturday
2025-08-25,Investasi,226017.29,INCOME,Goals,BCA,8,August,Monday
2025-08-25,Bunga Bank,109813.07,INCOME,Goals,Gopay,8,August,Monday
2025-08-28,Bunga Bank,29715.98,INCOME,Goals,BCA,8,August,Thursday
2025-08-29,Investasi,215183.23,INCOME,Goals,BCA,8,August,Friday
2025-08-29,Gaji Bulanan,198201.54,INCOME,Gaji,Dompet Tunai,8,August,Friday
2025-08-30,Bunga Bank,221643.09,INCOME,Goals,Gopay,8,August,Saturday
2025-09-03,Investasi,17700.05,INCOME,Goals,BCA,9,September,Wednesday
2025-09-05,Tabungan,194567.69,INCOME,Goals,Gopay,9,September,Friday
2025-09-06,Bonus,163234.92,INCOME,Gaji,Dompet Tunai,9,September,Saturday
2025-09-11,Insentif,128683.4,INCOME,Gaji,BCA,9,September,Thursday
2025-09-12,Gaji Bulanan,107282.68,INCOME,Gaji,Gopay,9,September,Friday
2025-09-12,Investasi,175638.68,INCOME,Goals,BCA,9,September,Friday
2025-09-14,Insentif,156984.77,INCOME,Gaji,BCA,9,September,Sunday
