Persona,YearMonth,total_expense,total_income,spending_ratio,savings_rate,net_balance,active_days,daily_avg_expense,dominant_category,belanja_amount,hiburan_amount,lain-lain_amount,makan_minum_amount,tagihan_amount,belanja_ratio,hiburan_ratio,lain-lain_ratio,makan_minum_ratio,tagihan_ratio,weekday_expense,weekend_expense,weekend_ratio,expense_volatility,mom_expense_change
Persona 1 - Si Hemat,2024-01,3736607.0,4498619.0,0.830612016710017,16.9387983289983,762012.0,29,128848.5172413793,Tagihan,126288.0,85997.0,0.0,693108.0,2831214.0,0.033797506668482934,0.023014729673203525,0.0,0.185491275908866,0.7576964877494475,3486363.0,250244.0,0.06697091773365516,239252.8046040453,
Persona 1 - Si Hemat,2024-02,1359593.0,4828696.0,0.28156525074264355,71.84347492573563,3469103.0,21,64742.52380952381,Tagihan,138078.0,59532.0,0.0,370589.0,791394.0,0.10155833400142543,0.04378663320567258,0.0,0.2725734833880433,0.5820815494048587,1082225.0,277368.0,0.20400811125094054,29113.1844575942,-63.61423612384176
Persona 1 - Si Hemat,2024-03,2679837.0,2616507.0,1.0242040246787034,-2.4204024678703324,-63330.0,28,95708.46428571429,Tagihan,139413.0,180105.0,0.0,628371.0,1731948.0,0.05202294020121373,0.06720744582599614,0.0,0.23448105239236566,0.6462885615804245,1417997.0,1261840.0,0.47086445929360626,168625.50421405156,97.10582505205603
Persona 1 - Si Hemat,2024-04,2687896.0,3870859.0,0.6943926399799114,30.56073600200886,1182963.0,26,103380.61538461539,Tagihan,131753.0,182475.0,0.0,576604.0,1797064.0,0.049017149473045085,0.06788767124918524,0.0,0.21451871649795975,0.66857646277981,2480923.0,206973.0,0.07700186316732492,182621.3960809799,0.3007272457242749
Persona 1 - Si Hemat,2024-05,2681309.0,2343601.0,1.1440979074509696,-14.409790745096968,-337708.0,23,116578.65217391304,Tagihan,54762.0,207574.0,0.0,664019.0,1754954.0,0.020423606529497346,0.0774151729621614,0.0,0.24764732449710197,0.6545138960112393,2539834.0,141475.0,0.05276340772361559,204768.4149613475,-0.2450615648819765
Persona 1 - Si Hemat,2024-06,3381217.0,2284627.0,1.4799864485537464,-47.998644855374636,-1096590.0,28,120757.75,Tagihan,150551.0,116766.0,0.0,524718.0,2589182.0,0.044525684095401155,0.03453371966365956,0.0,0.1551861356428765,0.7657544605980627,2213545.0,1167672.0,0.34534074565459716,235166.55911732715,26.103220479251
Persona 1 - Si Hemat,2024-07,2545100.0,3697630.0,0.6883057526036948,31.169424739630518,1152530.0,24,106045.83333333333,Tagihan,137525.0,51350.0,0.0,457017.0,1899208.0,0.054035204903540135,0.020176024517700678,0.0,0.17956740403127577,0.7462213665474834,2351985.0,193115.0,0.07587717574947939,199162.0776738441,-24.72828570304716
Persona 1 - Si Hemat,2024-08,2607368.0,0.0,,,-2607368.0,28,93120.28571428571,Tagihan,126120.0,97170.0,0.0,751855.0,1632223.0,0.048370617419558726,0.03726746665603014,0.0,0.2883578382491463,0.6260040776752649,1307530.0,1299838.0,0.49852494929752916,173017.83455938593,2.44658363129151
Persona 1 - Si Hemat,2024-09,3176782.0,3739613.0,0.8494948541466724,15.050514585332762,562831.0,24,132365.91666666666,Tagihan,20726.0,192051.0,0.0,502746.0,2461259.0,0.006524212237415095,0.060454573212766885,0.0,0.15825637390289923,0.7747648406469188,2915403.0,261379.0,0.08227791519846184,259679.19725222109,21.838651084158435
Persona 1 - Si Hemat,2024-10,1840245.0,4562633.0,0.4033296125285553,59.66703874714446,2722388.0,26,70778.65384615384,Tagihan,134184.0,133112.0,0.0,636871.0,936078.0,0.07291637798227954,0.07233384685191374,0.0,0.3460794622455162,0.5086703129202905,1675988.0,164257.0,0.0892582237691177,41013.97309302507,-42.07204019665183
Persona 1 - Si Hemat,2024-11,2915752.0,2745552.0,1.061991177001929,-6.199117700192894,-170200.0,29,100543.1724137931,Tagihan,224903.0,57567.0,0.0,684264.0,1949018.0,0.07713378915627941,0.019743448688365816,0.0,0.2346783951447174,0.6684443670106374,1412078.0,1503674.0,0.5157070971742452,179303.32794060558,58.44368548753018
Persona 1 - Si Hemat,2024-12,1462363.0,3885049.0,0.3764078651260254,62.359213487397454,2422686.0,26,56244.730769230766,Tagihan,97178.0,86628.0,0.0,490684.0,787873.0,0.06645272069930654,0.059238369679758034,0.0,0.3355418593057948,0.5387670503151406,1274410.0,187953.0,0.12852691158077714,36263.451400612925,-49.84611174064186
Persona 1 - Si Hemat (Data Asli),2025-07,1783618.0,2823645.0,0.631672182586692,36.8327817413308,1040027.0,31,57536.06451612903,Makan & Minum,359664.6,252921.68,433984.57,471668.88,265378.27,0.2016488956716068,0.14180260571490083,0.24331699388546202,0.26444501008624044,0.1487864946417899,1340724.05,442893.95,0.24831211055282018,26003.61059579289,
