Date,Description,Amount,Transaction_Type,Category,Account_Name,Month,Month_Name,Day_of_Week
2025-07-01 00:00:00,Parkir,15907.28,EXPENSE,Tagihan,Gopay,7,July,Tuesday
2025-07-01 00:00:00,Iuran Bulanan,12793.08,EXPENSE,Tagihan,BCA,7,July,Tuesday
2025-07-01 00:00:00,Lain-lain,695.24,EXPENSE,Uncategorized,Gopay,7,July,Tuesday
2025-07-01 00:00:00,Streaming,13464.1,EXPENSE,Hiburan,Dompet Tunai,7,July,Tuesday
2025-07-01 00:00:00,Warung Nasi,17475.95,EXPENSE,Makan & Minum,Dompet Tunai,7,July,Tuesday
2025-07-02 00:00:00,Internet,11967.09,EXPENSE,Tagihan,Gopay,7,July,Wednesday
2025-07-02 00:00:00,Gofood,12037.66,EXPENSE,Makan & Minum,BCA,7,July,Wednesday
2025-07-02 00:00:00,Tissue,12307.09,EXPENSE,Belanja,BCA,7,July,Wednesday
2025-07-02 00:00:00,Alfamart,16031.74,EXPENSE,Belanja,Dompet Tunai,7,July,Wednesday
2025-07-02 00:00:00,Bioskop,8930.56,EXPENSE,Hiburan,Dompet Tunai,7,July,Wednesday
2025-07-02 00:00:00,Iuran Bulanan,1011.65,EXPENSE,Tagihan,BCA,7,July,Wednesday
2025-07-03 00:00:00,Streaming,4068.55,EXPENSE,Hiburan,BCA,7,July,Thursday
2025-07-03 00:00:00,Makan Siang,17301.34,EXPENSE,Makan & Minum,BCA,7,July,Thursday
2025-07-03 00:00:00,Tissue,273.11,EXPENSE,Belanja,Dompet Tunai,7,July,Thursday
2025-07-03 00:00:00,Belanja Mingguan,8251.71,EXPENSE,Belanja,BCA,7,July,Thursday
2025-07-03 00:00:00,Lain-lain,14623.24,EXPENSE,Uncategorized,Gopay,7,July,Thursday
2025-07-04 00:00:00,Parkir,8722.01,EXPENSE,Tagihan,Dompet Tunai,7,July,Friday
2025-07-04 00:00:00,Streaming,5265.33,EXPENSE,Hiburan,Gopay,7,July,Friday
2025-07-04 00:00:00,Cemilan,13467.9,EXPENSE,Makan & Minum,BCA,7,July,Friday
2025-07-04 00:00:00,Belanja Mingguan,224.99,EXPENSE,Belanja,BCA,7,July,Friday
2025-07-04 00:00:00,Bonus,223016.47,INCOME,Gaji,Gopay,7,July,Friday
2025-07-04 00:00:00,Biaya Admin,8005.71,EXPENSE,Uncategorized,Dompet Tunai,7,July,Friday
2025-07-05 00:00:00,Internet,12773.71,EXPENSE,Tagihan,Dompet Tunai,7,July,Saturday
2025-07-05 00:00:00,Jajan Sore,6691.51,EXPENSE,Makan & Minum,BCA,7,July,Saturday
2025-07-05 00:00:00,Top up Game,11737.77,EXPENSE,Hiburan,Dompet Tunai,7,July,Saturday
2025-07-05 00:00:00,Biaya Admin,18706.61,EXPENSE,Uncategorized,Gopay,7,July,Saturday
2025-07-05 00:00:00,Investasi,138872.97,INCOME,Goals,Gopay,7,July,Saturday
2025-07-06 00:00:00,Lain-lain,717.18,EXPENSE,Uncategorized,Gopay,7,July,Sunday
2025-07-06 00:00:00,Cemilan,12173.07,EXPENSE,Makan & Minum,Dompet Tunai,7,July,Sunday
2025-07-06 00:00:00,Cashback,152411.12,INCOME,Goals,Gopay,7,July,Sunday
2025-07-06 00:00:00,Gofood,15600.68,EXPENSE,Makan & Minum,Gopay,7,July,Sunday
2025-07-06 00:00:00,Bunga Bank,2515.05,INCOME,Goals,BCA,7,July,Sunday
