Date,Title,Amount,Type,Category,Account
2024-01-01,Skincare,128513.73,EXPENSE,Belanja,Dompet Tunai
2024-01-01,Gym,131585.52,EXPENSE,Hiburan,Dompet Tunai
2024-01-01,Beasiswa,554240.57,INCOME,Gaji,Gopay
2024-01-01,Tiket Wahana,18989.25,EXPENSE,Hiburan,Dompet Tunai
2024-01-01,Minimarket,73192.13,EXPENSE,Belanja,Gopay
2024-01-01,Uang Bulanan,1747060.27,INCOME,Gaji,Gopay
2024-01-02,Pizza,29421.32,EXPENSE,Makan & Minum,BCA
2024-01-02,Iuran Kebersihan,47695.09,EXPENSE,Tagihan,Dompet Tunai
2024-01-02,McDonalds,23844.67,EXPENSE,Makan & Minum,Gopay
2024-01-03,ATM,4000.3,EXPENSE,Lain-lain,Gopay
2024-01-03,Simpanan Bulanan,283723.64,INCOME,Goals,BCA
2024-01-03,Bowling,52552.5,EXPENSE,Hiburan,BCA
2024-01-03,Iuran Bulanan,26757.06,EXPENSE,Tagihan,Gopay
2024-01-03,Fotokopi,7991.4,EXPENSE,Lain-lain,Dompet Tunai
2024-01-04,Langganan Spotify,12464.42,EXPENSE,Tagihan,BCA
2024-01-04,Jus Buah,8260.11,EXPENSE,Makan & Minum,Gopay
2024-01-04,Game Online,42472.59,EXPENSE,Hiburan,Dompet Tunai
2024-01-04,Transfer Orang Tua,1021912.12,INCOME,Gaji,Gopay
2024-01-04,Streaming Film,43211.75,EXPENSE,Hiburan,Dompet Tunai
2024-01-04,Keperluan Lain,43489.2,EXPENSE,Lain-lain,Gopay
2024-01-04,Iuran Bulanan,39443.78,EXPENSE,Tagihan,BCA
2024-01-04,Langganan Spotify,124449.61,EXPENSE,Tagihan,Gopay
2024-01-05,Olahraga,85781.49,EXPENSE,Hiburan,Gopay
2024-01-05,Shopee,125343.27,EXPENSE,Belanja,Dompet Tunai
2024-01-05,Baju,196896.28,EXPENSE,Belanja,BCA
2024-01-05,GrabFood,27776.38,EXPENSE,Makan & Minum,Gopay
2024-01-05,Bowling,137264.55,EXPENSE,Hiburan,BCA
2024-01-05,Alfamart,74438.86,EXPENSE,Belanja,Dompet Tunai
2024-01-05,Karaoke,54372.52,EXPENSE,Hiburan,BCA
2024-01-05,Game Online,72817.11,EXPENSE,Hiburan,BCA
2024-01-06,GrabFood,18748.59,EXPENSE,Makan & Minum,Dompet Tunai
2024-01-06,Baju,19793.35,EXPENSE,Belanja,Dompet Tunai
2024-01-06,Parkir,67688.55,EXPENSE,Tagihan,Dompet Tunai
2024-01-06,Minimarket,9553.66,EXPENSE,Belanja,BCA
2024-01-07,Alfamart,71777.36,EXPENSE,Belanja,Gopay
2024-01-07,Buku Kuliah,113935.27,EXPENSE,Belanja,Dompet Tunai
2024-01-07,Nasi Padang,14445.75,EXPENSE,Makan & Minum,Gopay
2024-01-07,Wifi Bulanan,47964.68,EXPENSE,Tagihan,Gopay
2024-01-07,McDonalds,8206.55,EXPENSE,Makan & Minum,Gopay
2024-01-07,Top Up Game,93310.91,EXPENSE,Hiburan,Dompet Tunai
2024-01-07,Parkir Motor,18653.75,EXPENSE,Lain-lain,BCA
2024-01-07,Pulsa,147610.61,EXPENSE,Tagihan,Dompet Tunai
2024-01-08,Baju,24777.06,EXPENSE,Belanja,BCA
2024-01-08,Ongkos Angkot,31520.35,EXPENSE,Lain-lain,BCA
2024-01-09,Konser,122868.18,EXPENSE,Hiburan,Gopay
2024-01-09,Iuran Bulanan,19758.46,EXPENSE,Tagihan,Dompet Tunai
2024-01-09,Target Gadget,480425.63,INCOME,Goals,BCA
